Supplier_Number,Supplier_Name,Supplier_Address,BusA,Company_Code,Reference,Document_Type,Document_Date,Due_Date,PayT,PK,Currency,Net_Amount_FC,Net_Amount_LC,Err_Code,Net_Indicator,Confidence_Score
0020000104,SINGAPORE TELECOMMUNICATIONS LTD,"ORCHARD P.O.BOX 400
SINGAPORE 912314",HQ08,1266,BOA_DD_072024,AB,03.07.2024,,,,SGD,872.0,642.73,003,0,0.9
0020000104,SINGAPORE TELECOMMUNICATIONS LTD,"ORCHARD P.O.BOX 400
SINGAPORE 912314",,1266,0022,RE,19.06.2024,03.07.2024,B014,31,SGD,-872.0,-645.5,016,0,0.9
0020011167,MARINA BAY SANDS PTE LTD,"10 BAYFRONT AVENU
SINGAPORE 018956",HQ08,1266,,ZP,24.06.2024,,,29,SGD,46619.3,34395.25,001,0,0.9
0060000294,RAJ PETRO SPECIALITIES PVT LTD,"8th FLOOR NORTH TOWER, KRM PLAZA
#2, HARRINGTON ROAD, CHETPET
600031 CHENNAI
INDIA",,1266,1218000025,KR,22.07.2024,21.08.2024,B030,31,USD,-677.39,-677.39,007,0,0.9
0060000294,RAJ PETRO SPECIALITIES PVT LTD,"8th FLOOR NORTH TOWER, KRM PLAZA
#2, HARRINGTON ROAD, CHETPET
600031 CHENNAI
INDIA",,1266,1218000026,KR,22.07.2024,21.08.2024,B030,31,USD,-909.24,-909.24,007,0,0.9
0020000038,"FUJIFILM BUSINESS INNOVATION
SINGAPORE PTE. LTD","NO.80 ANSON ROAD #01-01
FUJI XEROX TOWERS
SINGAPORE 079907",,,F110000001,BOA,,15.05.2026,,,SGD,-218.0,,,,0.8
0020000038,"FUJIFILM BUSINESS INNOVATION
SINGAPORE PTE. LTD","NO.80 ANSON ROAD #01-01
FUJI XEROX TOWERS
SINGAPORE 079907",,1266,124807509,RE,01.01.2026,31.01.2026,B030,31,SGD,-218.0,-169.58,0,0,0.9
0020000064,JOBSTREET.COM PTE LTD,"1 WALLICH STREET #24-03
GUOCO TOWER
SINGAPORE 078881",,,F110000002,BOA,,15.05.2026,,,SGD,-4142.0,,,,0.8
0020000064,JOBSTREET.COM PTE LTD,"1 WALLICH STREET #24-03
GUOCO TOWER
SINGAPORE 078881",,1266,SGTX100000025752,RE,19.07.2024,18.08.2024,B030,31,SGD,-4142.0,-3079.78,0,0,0.9
0020000068,KUMPULAN DEVELOPMENT (S) PTE LTD,"#02-02 NO 15, TAI SING DRIVE
SINGAPORE 535220",,1266,CM/165979,RE,28.06.2024,12.08.2024,B045,31,SGD,-114.45,-84.7,,0,0.9
